"";"ANO";"VT";"VT.vp";"VM";"VM.vp";"VA";"VA.vp";"VC";"VC.vp";"VI";"VI.vp";"QP";"QP.vp";"QM";"QM.vp";"QA";"QA.vp";"QC";"QC.vp";"QI";"QI.vp";"VQ";"VQ.vp";"BT";"BT.vp";"BA";"BA.vp";"CT";"CT.vp";"IT";"IT.vp";"PA";"PA.vp"
"1";"2014";35125831,35;NA;136,78;NA;402,4575;NA;149,365833333333;NA;52,495;NA;1287306,75;NA;5,0125;NA;14,7666666666667;NA;5,485;NA;1,9275;NA;27,2621273288955;NA;256770,833333333;NA;87097,6666666667;NA;235044,5;NA;668147,666666667;NA;0,339162650534027;NA
"2";"2015";42735945,0758333;0,2166529142045;165,848333333333;0,212518886776817;466,1675;0,158302429449072;166,178333333333;0,112559208654367;56,715;0,0803886084388991;1665921,25;0,294113660166856;6,465;0,289775561097257;18,1408333333333;0,228498871331824;6,46416666666667;0,178517168034033;2,20833333333333;0,145698227410288;25,8468567754881;-0,0519134305380246;257612,583333333;0,00327821501014199;91583,5;0,0515034845939229;257493,583333333;0,09550992826181;753981,75;0,128465738362228;0,355434321251662;0,0479760100117585
"3";"2016";47454867,0941667;0,110420443726232;191,893333333333;0,15704107166186;508,425;0,0906487474995575;172,3025;0,0368529792291435;57,1858333333333;0,00830174263128442;1718272,33333333;0,0314247046991747;6,94833333333333;0,0747615364784733;18,435;0,0162157196012696;6,25333333333333;-0,0326157019466298;2,075;-0,0603773584905645;27,6071574682659;0,0681050198122034;247472,083333333;-0,0393633721955223;93216,6666666667;0,0178325426159374;275294;0,0691295543610648;829497,75;0,100156270360655;0,376788300358833;0,0600785513114573
"4";"2017";50555077,6275;0,0653296642298337;205,46125;0,0707055134797128;542,83625;0,0676820573339233;182,25625;0,0577690399152652;59,5075;0,0405986331113481;1783538,5;0,0379835986418161;7,24875;0,0432357879587437;19,1375;0,0381068619473827;6,425;0,0274520255863544;2,09875;0,01144578313253;28,4262846837257;0,0296708278062085;246060,375;-0,00570451549248685;93080,875;-0,00145673162882211;277488,625;0,00797193182561189;849718,5;0,024377100480381;0,378296751284463;0,00400344417327567
