"";"ANO";"VT";"VT.vp";"VM";"VM.vp";"VA";"VA.vp";"VC";"VC.vp";"VI";"VI.vp";"QP";"QP.vp";"QM";"QM.vp";"QA";"QA.vp";"QC";"QC.vp";"QI";"QI.vp";"VQ";"VQ.vp";"BT";"BT.vp";"BA";"BA.vp";"CT";"CT.vp";"IT";"IT.vp";"PA";"PA.vp"
"1";"2014";5488505,5625;NA;46,9216666666667;NA;215,350833333333;NA;115,214166666667;NA;43,5816666666667;NA;266624,333333333;NA;2,27916666666667;NA;10,4808333333333;NA;5,61;NA;2,1225;NA;20,5551694163199;NA;116844,25;NA;25368,8333333333;NA;47476,1666666667;NA;125351,583333333;NA;0,217033118411324;NA
"2";"2015";7093477,50833333;0,29242421776872;58,1508333333333;0,239317301886121;247,975833333333;0,151496975864965;130,736666666667;0,134727355576932;47,2333333333333;0,0837890550307835;392680,916666667;0,472787242474746;3,21166666666667;0,409140767824497;13,7116666666667;0,308261111552842;7,21583333333333;0,286244800950683;2,60166666666667;0,225755791126817;18,9316470309407;-0,0789836538194715;121911,166666667;0,0433647070066949;28562,0833333333;0,125872954346869;54264,75;0,142989289362732;150073,5;0,197220617476581;0,234173034899619;0,0789737373436767
"3";"2016";8869163,2725;0,250326551692117;70,7366666666667;0,216434272939626;268,403333333333;0,0823769789394803;136,711666666667;0,0457025573034854;47,4616666666667;0,00483415666902053;384320,583333333;-0,0212903988416395;3,06583333333333;-0,0454073689673088;11,6833333333333;-0,147927555609583;5,95416666666667;-0,174846980020787;2,0625;-0,207238949391417;23,22915509866;0,227001277844222;125343,416666667;0,028153696612424;32991,3333333333;0,155074472275307;64801,9166666667;0,194180691271345;186612,666666667;0,24347514162505;0,263172700520631;0,123838620588588
"4";"2017";10025660,3275;0,130395283012307;78,37375;0,107964987512369;281,225;0,0477701469181965;141,0925;0,0320443268679799;47,0625;-0,0084102960283745;488670,375;0,271517572027;3,82;0,245990758358251;13,7325;0,175392296718976;6,8875;0,156752974107767;2,28875;0,10969696969697;20,6624512921067;-0,11049492741565;127902,125;0,0204135837475814;35634,125;0,080105633802818;71053,625;0,0964741269226856;213153,5;0,142224179137534;0,278554227969449;0,0584465159888884
