"";"ANO";"VT";"VT.vp";"VM";"VM.vp";"VA";"VA.vp";"VC";"VC.vp";"VI";"VI.vp";"QP";"QP.vp";"QM";"QM.vp";"QA";"QA.vp";"QC";"QC.vp";"QI";"QI.vp";"VQ";"VQ.vp";"BT";"BT.vp";"BA";"BA.vp";"CT";"CT.vp";"IT";"IT.vp";"PA";"PA.vp"
"1";"2014";99422453,8808333;NA;204,8625;NA;566,023333333333;NA;190,9725;NA;64,0958333333333;NA;4452667,66666667;NA;9,175;NA;25,3675;NA;8,5625;NA;2,8725;NA;22,3145412324447;NA;485140,25;NA;175339,083333333;NA;520438,75;NA;1549164,75;NA;0,361360003059612;NA
"2";"2015";115741374,631667;0,16413717539494;232,9025;0,136872292391238;629,546666666667;0,112227411119684;207,219166666667;0,0850733308024297;68,0375;0,0614964571279989;6234714,41666667;0,400220021660423;12,5391666666667;0,36666666666667;33,79;0,332019316054006;11,1091666666667;0,297420924574213;3,65;0,270670147954743;18,8552138803772;-0,155025698984021;496796,5;0,0240265572687486;183672,666666667;0,0475283842877816;559187,666666667;0,0744543265978311;1701530,58333333;0,0983535375003401;0,369621338257841;0,0228617863855456
"3";"2016";122837547,581667;0,0613105985010349;247,465833333333;0,0625297424172475;643,798333333333;0,0226379828871558;205,555833333333;-0,00802692801100609;65,9525;-0,0306448649641741;5918330;-0,0507456148786718;11,9233333333333;-0,0491127799561426;31,0475;-0,0811630659958568;9,91916666666667;-0,107118745780514;3,1825;-0,128082191780822;20,8116385126946;0,103760405197709;496445,083333333;-0,000707365423602978;190496,25;0,0371507827330485;597253,333333333;0,0680731513510957;1861683,5;0,0941228551725044;0,383756844398281;0,0382432091368582
"4";"2017";131226890,71625;0,0682962441024431;260,7575;0,0537111183698774;684,295;0,0629027205724366;218,8625;0,0647350476553428;68,6525;0,0409385542625375;6499133;0,098136298584229;12,91125;0,0828557450377442;33,8325;0,089701264191964;10,81625;0,090439385028984;3,39375;0,0663786331500392;20,3183620884369;-0,0237019504234044;503250,25;0,0137077934602038;191680,625;0,00621731398912052;599958;0,00452850828235977;1911947,25;0,0269990844308391;0,38086931608911;-0,0075243695358673
