"";"ANO";"VT";"VT.vp";"VM";"VM.vp";"VA";"VA.vp";"VC";"VC.vp";"VI";"VI.vp";"QP";"QP.vp";"QM";"QM.vp";"QA";"QA.vp";"QC";"QC.vp";"QI";"QI.vp";"VQ";"VQ.vp";"BT";"BT.vp";"BA";"BA.vp";"CT";"CT.vp";"IT";"IT.vp";"PA";"PA.vp"
"1";"2014";58808116,9683333;NA;527,0825;NA;933,980833333333;NA;247,330833333333;NA;77,8266666666667;NA;2898448,91666667;NA;25,9783333333333;NA;46,0466666666667;NA;12,1958333333333;NA;3,8375;NA;20,2938231977626;NA;111525,166666667;NA;62872,5833333333;NA;237727,666666667;NA;754870,916666667;NA;0,563721198708093;NA
"2";"2015";65911952,0475;0,120796846513415;561,9225;0,0660997092485522;1036,44416666667;0,109706034295854;266,675833333333;0,0782150762979411;82,6733333333333;0,0622751413397285;4176112,25;0,440809332876804;35,5825;0,36969910823122;65,4433333333333;0,421239322426522;16,8016666666667;0,377656303382309;5,21583333333333;0,359174809989141;16,1403953756044;-0,204664630300717;117272,75;0,0515362003493948;63527,0833333333;0,0104099428606269;247427,5;0,04080229057619;797331,416666667;0,0562486897594301;0,541643980247242;-0,0391633639314016
"3";"2016";66513517,215;0,00912679944703324;537,765;-0,0429908038919958;1032,76416666667;-0,00355060129465091;258,570833333333;-0,0303927052507571;78,6941666666667;-0,0481311990968462;3815737,08333333;-0,0862944157371895;30,8616666666667;-0,132672896320756;59,2675;-0,0943691743493094;14,8508333333333;-0,116109512945148;4,52166666666667;-0,133088352772007;17,531513254671;0,0861885874970092;123629,583333333;0,0542055450506021;64288,25;0,0119817663070218;257156,416666667;0,0393202722683089;845428,75;0,060322887481857;0,520020662615999;-0,0399216430345496
"4";"2017";70646152,76125;0,0621322660308515;546,46875;0,0161850436528967;1121,615;0,086032064435488;281,34375;0,088072256151604;83,29625;0,0584806158863952;4226924,125;0,107760842187656;32,67625;0,0587973213803521;67,02125;0,130826338212342;16,79125;0,130660456764494;4,97;0,0991522300036851;16,9073020351644;-0,0356050964020628;129287,75;0,0457670932321378;62965,625;-0,0205733551621019;251409;-0,022349886272202;848931,75;0,00414345975340914;0,487033155110994;-0,0634349937924757
