Valor Aprovado;Quantidade Aprovada;Ano;Mês
177524225,59999996;13009770;;
424,81;1;216;dezembro
;8;217;maio
1268,64;79;2012;junho
209,79;1;2015;fevereiro
;0;2015;março
429;3;2015;novembro
2579,57;8;2015;dezembro
3327,7;25;2016;janeiro
88628,42000000001;148;2016;fevereiro
15672,659999999998;128;2016;março
34199,939999999995;215;2016;abril
11660,460000000001;961;2016;maio
29737,930000000004;3280;2016;junho
91764,25000000007;4665;2016;julho
508004,2500000017;21800;2016;agosto
747912,6399999997;39715;2016;setembro
2471490,9799999692;80404;2016;outubro
6605629,160000233;244489;2016;novembro
32530918,059998073;1718881;2016;dezembro
101658316,37998241;4253924;2017;janeiro
83348307,72992162;3611614;2017;fevereiro
109601858,99983156;4534987;2017;março
95676528,04997766;4269153;2017;abril
104677001,95998973;4387028;2017;maio
55170471,949990645;1968075;2017;junho
;0;2017;dezembro
