"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"IMI";"IPT"
"572";"32002017029P5";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";0,377830710955711;0,0208333333333333
"573";"32002017030P3";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,384956013655462;0,0625
"574";"32002017032P6";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2006;"PROFISSIONAL";"4";0,421632975864765;0,0588235294117647
"575";"32002017033P2";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,401364194800727;0,0222222222222222
"576";"32002017036P1";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"5";0,65515350877193;0,266666666666667
"577";"32002017038P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";0,541292887211382;0,0333333333333333
"578";"32002017039P0";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,449218374218374;0,037037037037037
"579";"32002017041P5";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,547558922558923;0,0888888888888889
"580";"32002017044P4";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";0,550336876215896;0,037037037037037
"581";"32002017047P3";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,657886904761905;0,0714285714285714
