"";"NM_MODALIDADE_PROGRAMA";"m_IMI";"m_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"ACADÊMICO";0,473317154540573;0,0941187737089908;0,010516512151384;0,00856813929932442;0,102550047056956;0,0925642441730306;21,6662434634335;98,3483321395933;"0.0239794726246032"
"2";"PROFISSIONAL";0,563617862486926;0,110393918827145;0,00731956860267303;0,0134517403876042;0,0855544773969956;0,115981638148477;15,1795184452622;105,061618774565;"0.0847722647346618"
