"";"CD_PROGRAMA_IES";"QPA"
"1067";"53001010041P1";3
"1068";"53001010042P8";3
"1069";"53001010049P2";1
"1070";"53001010052P3";13
"1071";"53001010053P0";1
"1072";"53001010054P6";7
"1073";"53001010059P8";3
"1074";"53001010066P4";1
"1075";"53001010068P7";3
"1076";"53001010074P7";1
"1077";"53001010075P3";2
"1078";"53001010080P7";3
"1079";"53001010081P3";5
"1080";"53001010082P0";1
"1081";"53001010083P6";4
"1082";"53001010084P2";1
"1083";"53001010088P8";5
"1084";"53001010090P2";1
"1085";"53001010092P5";1
"1086";"53001010096P0";1
"1087";"53001010097P7";1
"1088";"53001010100P8";2
"1089";"53001010101P4";4
"1090";"53001010102P0";1
"1091";"53003012006P0";4
"1092";"53003012010P8";2
"1093";"53005015002P8";3
"1094";"53037014001P0";5
"1095";"53045009001P3";2
