"";"CD_PROGRAMA_IES";"QPA"
"245";"30001013054P8";2
"246";"30004012002P7";3
"247";"30004012072P5";1
"248";"30004012073P1";1
"249";"30007011001P0";3
"250";"30007011002P6";1
"251";"30007011003P2";1
"252";"31001017003P7";1
"253";"31001017004P3";1
"254";"31001017006P6";2
"255";"31001017024P4";4
"256";"31001017027P3";2
"257";"31001017028P0";7
"258";"31001017029P6";1
"259";"31001017030P4";5
"260";"31001017035P6";1
"261";"31001017038P5";1
"262";"31001017059P2";1
"263";"31001017072P9";11
"264";"31001017087P6";1
"265";"31001017088P2";1
"266";"31001017100P2";2
"267";"31001017102P5";4
"268";"31001017103P1";8
"269";"31001017112P0";1
"270";"31001017115P0";1
"271";"31001017125P5";2
"272";"31001017132P1";8
"273";"31001017134P4";1
"274";"31001017139P6";2
"275";"31001017141P0";1
"276";"31001017142P7";2
"277";"31001017145P6";1
"278";"31001017149P1";1
"279";"31001017155P1";1
"280";"31002013002P7";2
"281";"31002013011P6";1
"282";"31002013014P5";4
"283";"31002013015P1";7
"284";"31002013022P8";10
"285";"31002013026P3";1
"286";"31002013028P6";5
"287";"31003010019P7";4
"288";"31003010032P3";5
"289";"31003010036P9";2
"290";"31003010039P8";1
"291";"31003010040P6";1
"292";"31003010045P8";4
"293";"31003010046P4";2
"294";"31003010054P7";2
"295";"31003010055P3";4
"296";"31003010067P1";2
"297";"31003010077P7";2
"298";"31003010085P0";1
"299";"31003010086P6";2
"300";"31003010087P2";7
"301";"31003010089P5";3
"302";"31003010092P6";1
"303";"31003010097P8";2
"304";"31004016004P2";5
"305";"31004016013P1";2
"306";"31004016021P4";25
"307";"31004016022P0";2
"308";"31004016031P0";1
"309";"31004016034P9";3
"310";"31004016039P0";1
"311";"31004016040P9";4
"312";"31004016041P5";2
"313";"31004016042P1";2
"314";"31004016043P8";9
"315";"31004016044P4";2
"316";"31004016049P6";4
"317";"31004016053P3";7
"318";"31004016063P9";1
"319";"31004016065P1";1
"320";"31004016156P7";1
"321";"31005012004P9";17
"322";"31005012010P9";1
"323";"31005012011P5";4
"324";"31005012013P8";2
"325";"31005012014P4";16
"326";"31005012028P5";7
"327";"31005012032P2";16
"328";"31007015004P1";1
"329";"31007015009P3";2
"330";"31007015010P1";1
"331";"31009018003P8";6
"332";"31010016002P6";2
"333";"31010016003P2";3
"334";"31010016005P5";1
"335";"31010016009P0";4
"336";"31010016012P1";2
"337";"31010016015P0";1
"338";"31010016022P7";3
"339";"31010016027P9";4
"340";"31010016150P5";1
"341";"31011012004P5";4
"342";"31011012011P1";21
"343";"31013015002P5";2
"344";"31018017008P5";3
"345";"31019013004P6";6
"346";"31021018002P4";2
"347";"31021018003P0";2
"348";"31021018009P9";3
"349";"31021018016P5";1
"350";"31021018018P8";2
"351";"31021018019P4";11
"352";"31022014001P4";4
"353";"31022014007P2";1
"354";"31022014009P5";2
"355";"31025013004P2";1
"356";"31027016003P9";6
"357";"31030017001P3";7
"358";"31030017003P6";5
"359";"31030017004P2";5
"360";"31030017005P9";5
"361";"31032010003P2";6
"362";"31033016002P9";1
"363";"31033016003P5";9
"364";"31033016005P8";3
"365";"31033016008P7";4
"366";"31033016011P8";3
"367";"31033016012P4";2
"368";"31034012001P9";2
"369";"31034012002P5";1
"370";"31035019001P5";1
"371";"31035019003P8";2
"372";"31036015001P1";20
"373";"31040012001P5";10
"374";"31040012002P1";9
"375";"31049010001P6";1
"376";"31056016001P5";2
"377";"31057012001P1";2
"378";"31057012002P8";5
"379";"31058019002P4";3
"380";"31063012001P8";2
"381";"31063012002P4";1
"382";"31067018001P3";1
"383";"31069010001P6";5
"384";"31069010002P2";4
"385";"31070019001P0";1
"386";"31073018001P0";1
"387";"31073018002P6";1
"388";"31075010001P2";8
"389";"31076017001P9";3
"390";"31088015002P0";1
"391";"31096018001P2";15
"392";"31102000001P6";7
"393";"31106005001P8";1
"394";"31115004001P3";1
"395";"32001010002P3";1
"396";"32001010005P2";1
"397";"32001010014P1";1
"398";"32001010015P8";12
"399";"32001010018P7";3
"400";"32001010022P4";5
"401";"32001010028P2";2
"402";"32001010029P9";1
"403";"32001010037P1";1
"404";"32001010038P8";7
"405";"32001010043P1";1
"406";"32001010045P4";1
"407";"32001010049P0";11
"408";"32001010050P8";1
"409";"32001010051P4";6
"410";"32001010052P0";1
"411";"32001010053P7";2
"412";"32001010054P3";2
"413";"32001010057P2";1
"414";"32001010062P6";1
"415";"32001010068P4";7
"416";"32001010079P6";1
"417";"32001010089P1";1
"418";"32001010090P0";2
"419";"32001010091P6";1
"420";"32001010093P9";1
"421";"32001010171P0";2
"422";"32002017001P3";1
"423";"32002017003P6";2
"424";"32002017004P2";9
"425";"32002017006P5";3
"426";"32002017007P1";6
"427";"32002017011P9";10
"428";"32002017012P5";1
"429";"32002017014P8";2
"430";"32002017017P7";5
"431";"32002017023P7";1
"432";"32002017027P2";3
"433";"32002017029P5";1
"434";"32002017032P6";1
"435";"32002017033P2";1
"436";"32002017036P1";4
"437";"32002017038P4";2
"438";"32002017041P5";4
"439";"32002017044P4";1
"440";"32002017049P6";3
"441";"32003013001P0";4
"442";"32003013002P6";3
"443";"32003013003P2";7
"444";"32003013008P4";7
"445";"32003013010P9";1
"446";"32003013014P4";5
"447";"32004010003P2";1
"448";"32004010007P8";1
"449";"32004010008P4";1
"450";"32004010009P0";1
"451";"32004010010P9";5
"452";"32004010011P5";2
"453";"32004010013P8";1
"454";"32004010016P7";2
"455";"32004010020P4";4
"456";"32004010022P7";3
"457";"32004010024P0";3
"458";"32004010027P9";1
"459";"32004010031P6";5
"460";"32005016017P6";1
"461";"32005016022P0";2
"462";"32005016023P6";1
"463";"32005016027P1";2
"464";"32005016028P8";1
"465";"32005016030P2";1
"466";"32005016031P9";1
"467";"32005016038P3";1
"468";"32006012001P9";8
"469";"32006012005P4";1
"470";"32006012017P2";2
"471";"32006012021P0";2
"472";"32006012034P4";9
"473";"32006012076P9";1
"474";"32007019005P0";5
"475";"32007019013P3";1
"476";"32007019016P2";2
"477";"32007019022P2";1
"478";"32007019023P9";2
"479";"32007019051P2";4
"480";"32008015002P8";2
"481";"32008015003P4";7
"482";"32008015004P0";3
"483";"32008015005P7";1
"484";"32008015008P6";1
"485";"32008015009P2";1
"486";"32008015011P7";3
"487";"32008015014P6";1
"488";"32010010002P2";1
"489";"32010010013P4";3
"490";"32011016005P4";2
"491";"32011016012P0";1
"492";"32011016013P7";1
"493";"32011016015P0";2
"494";"32012012006P7";6
"495";"32014015003P0";1
"496";"32014015004P7";1
"497";"32014015006P0";1
"498";"32014015009P9";2
"499";"32016018001P0";1
"500";"32016018002P7";3
"501";"32016018003P3";3
"502";"32018010007P1";2
"503";"32018010011P9";4
"504";"32018010012P5";3
"505";"32018010013P1";3
"506";"32020015002P0";22
"507";"32020015005P0";1
"508";"32025017001P6";1
"509";"32025017002P2";1
"510";"32037015002P7";2
"511";"32037015003P3";2
"512";"32044011001P3";2
"513";"32048017001P9";2
"514";"32053010002P5";2
"515";"32053010003P1";5
"516";"32053010004P8";1
"517";"32053010006P0";1
"518";"32069014001P9";1
"519";"32073011001P2";2
"520";"32073011003P5";10
"521";"32073011004P1";1
"522";"32076010001P1";2
"523";"33001014002P6";1
"524";"33001014008P4";6
"525";"33001014012P1";1
"526";"33001014013P8";1
"527";"33001014022P7";3
"528";"33001014026P2";1
"529";"33001014031P6";2
"530";"33001014034P5";3
"531";"33001014040P5";1
"532";"33001014042P8";5
"533";"33001014045P7";1
