"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI";"IMI_nDi";"DIF";"PRC_DIF"
"134";"15010015003P7";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";0,87719298245614;0,629310344827586;0,64554905782976;0,480864197530864;0,658229145661088;0,667868745938921;-0,00963960027783373;-1,46447484760831
"135";"15010015004P3";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,754385964912281;0,55;0,561111111111111;0,478703703703704;0,586050194931774;0,598066926575698;-0,0120167316439246;-2,05046116319841
"136";"15010015005P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";0,511111111111111;0,449275362318841;0,76078431372549;0,536842105263158;0,56450322310465;0,602912510033253;-0,038409286928603;-6,80408638189167
"137";"15025012001P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,714285714285714;0,846153846153846;0,625;0,497916666666667;0,670839056776557;0,612400793650794;0,0584382631257631;8,71121955936261
"138";"15027007039P2";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"4";0,4;0,541666666666667;0,584375;0,363235294117647;0,472319240196078;0,449203431372549;0,0231158088235294;4,89410696331851
"139";"16003012001P4";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";0,627450980392157;0,653846153846154;0,509285714285714;0,392333333333333;0,54572904546434;0,509690009337068;0,0360390361272714;6,60383324413441
"140";"16003012002P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,384615384615385;0,166666666666667;0,451410256410256;0,3625;0,341298076923077;0,399508547008547;-0,0582104700854701;-17,0556103363541
"141";"16003012003P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,458333333333333;0,361111111111111;0,451633444075305;0,383333333333333;0,413602805463271;0,43110003691399;-0,0174972314507199;-4,23044312552993
"142";"16003012004P3";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,75;0,666666666666667;0,605351906158358;0,523412698412698;0,636357817809431;0,626254868190352;0,0101029496190786;1,58762088503235
"143";"16003012005P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,8;0,672727272727273;0,625;0,359375;0,614275568181818;0,594791666666667;0,0194839015151514;3,1718503102478
"144";"16003012006P6";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,611111111111111;0,6875;0,596217105263158;0,507212885154062;0,600510275382083;0,571513700509444;0,0289965748726391;4,82865590504502
"145";"16003012007P2";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2007;"PROFISSIONAL";"3";0,897435897435897;0,490196078431373;0,597687400318979;0,604487179487179;0,647451638918357;0,699870159080685;-0,0524185201623282;-8,09612904060284
"146";"16003012008P9";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";0,491228070175439;0,202127659574468;0,502083333333333;0,510714285714286;0,426538337199381;0,501341896407686;-0,0748035592083045;-17,5373589392829
"147";"16003012009P5";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,375;0,666666666666667;0,526268115942029;0,429166666666667;0,499275362318841;0,443478260869565;0,0557971014492753;11,1756168359942
"148";"16003012010P3";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";0,925925925925926;0,67741935483871;0,9;0,492361111111111;0,748926597968937;0,772762345679012;-0,0238357477100757;-3,1826547187291
"149";"16003012012P6";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,769230769230769;0,695652173913043;0,75;0,503125;0,679501985785953;0,67411858974359;0,0053833960423636;0,792256116240313
"150";"16003012013P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,666666666666667;0,573529411764706;0,991071428571429;0,355555555555556;0,646705765639589;0,671097883597884;-0,0243921179582944;-3,77174895513275
"151";"16003012014P9";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";0,666666666666667;0,696428571428571;0,733333333333333;0,430952380952381;0,631845238095238;0,61031746031746;0,0215277777777778;3,4071282775946
"152";"16003012015P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";0,564102564102564;0,46031746031746;0,532142857142857;0,406862745098039;0,49085640666523;0,50103605544782;-0,01017964878259;-2,07385472499958
"153";"16003012016P1";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,666666666666667;0,676470588235294;0,531746031746032;0,423076923076923;0,574490052431229;0,540496540496541;0,0339935119346884;5,91716284569743
"154";"16003012017P8";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";0,714285714285714;0,485294117647059;0,701923076923077;0,470175438596491;0,592919586863085;0,628794743268427;-0,0358751564053421;-6,05059390855075
"155";"16003012156P8";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,452380952380952;0,638888888888889;0,580368906455863;0,530882352941176;0,55063027516672;0,521210737259331;0,0294195379073896;5,34288418821176
"156";"16003012158P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,476190476190476;0,666666666666667;0,813415750915751;0,460964912280702;0,604309451513399;0,583523713128976;0,0207857383844227;3,43958518808005
"157";"16003012159P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,607142857142857;0,436781609195402;0,5811004784689;0,461781609195402;0,52170163850064;0,55000831493572;-0,0283066764350793;-5,42583621482044
"158";"16003012161P1";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,766666666666667;0,651162790697674;0,6;0,503846153846154;0,630418902802624;0,623504273504274;0,00691462929835018;1,09683089571238
"159";"20001010003P6";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"6";0,55;0,527777777777778;0,351812450748621;0,41358024691358;0,460792618859995;0,438464232554067;0,0223283863059276;4,84564756292501
"160";"20001010004P2";"QUÍMICA";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"3";0,377777777777778;0,604651162790698;0,511904761904762;0,365740740740741;0,465018610803494;0,41847442680776;0,0465441839957344;10,0091013379683
"161";"20001010005P9";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";0,395833333333333;0,340909090909091;0,527777777777778;0,5;0,44113005050505;0,474537037037037;-0,0334069865319865;-7,57304710793083
"162";"20001010006P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";0,711111111111111;0,72972972972973;0,505806451612903;0,638157894736842;0,646201296797647;0,618358485820286;0,0278428109773611;4,30869004988702
"163";"20001010008P8";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"3";0,411764705882353;0,328571428571429;0,440689792663477;0,444736842105263;0,40644069230563;0,432397113550364;-0,0259564212447339;-6,38627522689473
"164";"20001010009P4";"MEDICINA I";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";0,548387096774194;0,207692307692308;0,456217948717949;0,534302325581395;0,436649919691461;0,512969123691179;-0,0763192039997178;-17,4783506323888
"165";"20001010011P9";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";0,622222222222222;0,4;0,475;0,387698412698413;0,471230158730159;0,494973544973545;-0,0237433862433863;-5,03859649122808
