"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QFDPD";"QFDPM";"QFDPG";"QPPP";"DFDDo";"DFDM";"DFDG";"FCDo"
"259";"20002017003P2";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"ESTADUAL";"PÚBLICA";2010;"ACADÊMICO";"3";10;10;10;12;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333
"260";"20002017004P9";"CIÊNCIA DA COMPUTAÇÃO";"ESTADUAL";"PÚBLICA";2011;"PROFISSIONAL";"3";10;8;6;14;0,714285714285714;0,571428571428571;0,428571428571429;0,571428571428571
"261";"20002017005P5";"MEDICINA VETERINÁRIA";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";7;8;3;15;0,466666666666667;0,533333333333333;0,2;0,4
"262";"20002017007P8";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";7;6;7;13;0,538461538461538;0,461538461538462;0,538461538461538;0,512820512820513
"263";"20002017008P4";"HISTÓRIA";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";5;4;3;16;0,3125;0,25;0,1875;0,25
"264";"20002017009P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";10;10;9;11;0,909090909090909;0,909090909090909;0,818181818181818;0,878787878787879
"265";"20002017010P9";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";10;9;7;16;0,625;0,5625;0,4375;0,541666666666667
"266";"20002017039P7";"GEOGRAFIA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";2;5;2;13;0,153846153846154;0,384615384615385;0,153846153846154;0,230769230769231
"267";"20002017040P5";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";5;3;3;12;0,416666666666667;0,25;0,25;0,305555555555556
"268";"20002017041P1";NA;NA;NA;NA;NA;NA;9;11;9;16;0,5625;0,6875;0,5625;0,604166666666667
"269";"20009011001P4";"ODONTOLOGIA";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";7;6;2;14;0,5;0,428571428571429;0,142857142857143;0,357142857142857
"270";"20009011002P0";"CIÊNCIAS BIOLÓGICAS III";"PARTICULAR";"PRIVADA";2008;"ACADÊMICO";"3";5;6;4;9;0,555555555555556;0,666666666666667;0,444444444444444;0,555555555555556
"271";"20009011003P7";"SAÚDE COLETIVA";"PARTICULAR";"PRIVADA";2013;"PROFISSIONAL";"3";11;10;8;13;0,846153846153846;0,769230769230769;0,615384615384615;0,743589743589744
"272";"20009011040P0";NA;NA;NA;NA;NA;NA;6;6;1;17;0,352941176470588;0,352941176470588;0,0588235294117647;0,254901960784314
"273";"21001014001P6";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"4";5;6;14;25;0,2;0,24;0,56;0,333333333333333
"274";"21001014002P2";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";12;11;5;20;0,6;0,55;0,25;0,466666666666667
"275";"21001014003P9";"QUÍMICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";7;6;10;26;0,269230769230769;0,230769230769231;0,384615384615385;0,294871794871795
"276";"21001014004P5";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"3";14;15;15;16;0,875;0,9375;0,9375;0,916666666666667
"277";"21001014005P1";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";8;7;8;14;0,571428571428571;0,5;0,571428571428571;0,547619047619048
"278";"21001014007P4";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";7;6;4;15;0,466666666666667;0,4;0,266666666666667;0,377777777777778
"279";"21001014008P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";7;6;8;20;0,35;0,3;0,4;0,35
"280";"21001014009P7";"HISTÓRIA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"3";2;3;5;10;0,2;0,3;0,5;0,333333333333333
