"";"CD_CONCEITO_PROGRAMA";"m_IMI";"m_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor";"ANO_INICIO_PROGRAMA"
"1";"3";0,55434264703903;0,0933166253517426;0,00699619424054622;0,00834012383539688;0,0836432557983381;0,091324278455386;15,088728288381;97,8649604088802;"0.0251285015021782";"3"
"2";"4";0,475368505755111;0,0968676955633316;0,00899305563866979;0,0105748842457565;0,0948317227443949;0,102834256188084;19,9490966684377;106,15949475215;"0.0970152675496664";"4"
"3";"5";0,422714468129275;0,0976669681713797;0,00805267929166801;0,008004047400686;0,0897367220911707;0,0894653418966585;21,2286848113577;91,6024563593194;"0.119957523262755";"5"
"4";"6";0,393988418755835;0,104082957110266;0,00501512520456384;0,0106044340624427;0,0708175487048503;0,102977832869228;17,9745254767851;98,9382274757365;"0.0766948225001108";"6"
"5";"7";0,385162169178389;0,0928702362509059;0,00363014969455536;0,0065606074335327;0,0602507236019233;0,080997576713953;15,6429494959091;87,2158615975987;"-0.0333079541728779";"7"
