"";"CD_PROGRAMA_IES";"SPPAP"
"1059";"40006018016P9";2
"1060";"40006018017P5";1
"1061";"40006018018P1";3
"1062";"40006018022P9";2
"1063";"40006018024P1";1
"1064";"40006018026P4";3
"1065";"40006018028P7";2
"1066";"40006018029P3";3
"1067";"40006018031P8";3
"1068";"40006018033P0";4
"1069";"40006018034P7";1
"1070";"40006018037P6";2
"1071";"40014010002P7";9
"1072";"40014010003P3";1
"1073";"40014010006P2";23
"1074";"40014010010P0";1
"1075";"40014010011P6";2
"1076";"40014010012P2";1
"1077";"40015017006P9";14
"1078";"40015017011P2";1
"1079";"40015017013P5";6
"1080";"40015017016P4";2
"1081";"40015017023P0";15
"1082";"40015017025P3";1
"1083";"40022013002P6";3
"1084";"40022013003P2";10
"1085";"40022013004P9";18
"1086";"40022013005P5";3
"1087";"40022013007P8";10
"1088";"40024016001P2";2
"1089";"40024016002P9";5
"1090";"40028011002P4";2
"1091";"40028011004P7";4
"1092";"40030016004P8";1
"1093";"40033015001P8";29
"1094";"40037010001P3";1
"1095";"40041018001P7";34
"1096";"40075010001P1";1
"1097";"40077012001P0";1
"1098";"41001010005P1";3
"1099";"41001010006P8";2
"1100";"41001010009P7";9
"1101";"41001010019P2";1
"1102";"41001010020P0";6
"1103";"41001010021P7";4
"1104";"41001010022P3";10
"1105";"41001010024P6";3
"1106";"41001010028P1";13
"1107";"41001010031P2";30
"1108";"41001010033P5";2
"1109";"41001010035P8";7
"1110";"41001010044P7";8
"1111";"41001010046P0";6
"1112";"41001010048P2";1
"1113";"41001010049P9";1
"1114";"41001010051P3";3
"1115";"41001010069P0";6
"1116";"41001010076P6";2
"1117";"41001010079P5";2
"1118";"41001010082P6";1
"1119";"41001010086P1";1
"1120";"41001010087P8";1
"1121";"41001010089P0";1
"1122";"41001010090P9";1
"1123";"41001010156P0";2
"1124";"41002016001P9";3
"1125";"41002016009P0";6
"1126";"41002016011P4";1
"1127";"41002016018P9";3
"1128";"41002016023P2";1
"1129";"41004019001P1";2
"1130";"41004019005P7";5
"1131";"41005015010P7";1
"1132";"41006011003P7";2
"1133";"41006011005P0";1
"1134";"41006011009P5";2
"1135";"41006011012P6";1
"1136";"41007018002P7";1
"1137";"41007018004P0";4
"1138";"41008014003P0";1
"1139";"41011015001P4";7
"1140";"41015010001P0";1
"1141";"41015010003P2";4
"1142";"41015010004P9";12
"1143";"41016017001P6";2
"1144";"41017013002P9";3
"1145";"41020014004P9";1
"1146";"41024010002P5";1
"1147";"42001013002P1";6
"1148";"42001013007P3";1
"1149";"42001013014P0";1
"1150";"42001013016P2";38
"1151";"42001013020P0";1
"1152";"42001013023P9";91
"1153";"42001013030P5";7
"1154";"42001013035P7";2
"1155";"42001013039P2";2
"1156";"42001013040P0";40
"1157";"42001013048P1";2
"1158";"42001013052P9";1
"1159";"42001013053P5";1
"1160";"42001013056P4";47
"1161";"42001013058P7";1
"1162";"42001013059P3";6
"1163";"42001013068P2";7
"1164";"42001013078P8";1
"1165";"42001013079P4";1
"1166";"42001013086P0";1
"1167";"42001013089P0";5
"1168";"42001013096P6";8
"1169";"42001013098P9";1
"1170";"42001013102P6";3
"1171";"42001013105P5";18
"1172";"42002010003P8";12
"1173";"42002010004P4";2
"1174";"42002010008P0";1
"1175";"42002010010P4";1
"1176";"42002010012P7";22
"1177";"42002010013P3";11
"1178";"42002010015P6";9
"1179";"42002010019P1";1
"1180";"42002010020P0";2
"1181";"42002010023P9";3
"1182";"42002010032P8";7
"1183";"42002010036P3";3
"1184";"42002010048P1";1
"1185";"42002010052P9";8
"1186";"42002010055P8";2
"1187";"42002010158P1";2
"1188";"42003016001P8";3
"1189";"42003016008P2";14
"1190";"42003016009P9";30
"1191";"42003016018P8";6
"1192";"42003016020P2";85
"1193";"42003016022P5";22
"1194";"42003016025P4";4
"1195";"42003016028P3";8
"1196";"42003016033P7";2
"1197";"42003016035P0";7
"1198";"42003016040P3";26
"1199";"42003016041P0";19
"1200";"42003016046P1";1
"1201";"42003016053P8";3
"1202";"42003016054P4";2
"1203";"42004012005P0";9
"1204";"42004012008P9";2
"1205";"42004012011P0";3
"1206";"42004012012P6";3
"1207";"42004012013P2";1
"1208";"42004012016P1";14
"1209";"42004012021P5";1
"1210";"42004012024P4";1
"1211";"42004012025P0";1
"1212";"42005019014P5";2
"1213";"42005019015P1";3
"1214";"42005019016P8";6
"1215";"42005019020P5";1
"1216";"42005019021P1";1
"1217";"42005019022P8";3
"1218";"42005019025P7";14
"1219";"42005019027P0";1
"1220";"42005019029P2";11
"1221";"42005019034P6";18
"1222";"42007011018P3";3
"1223";"42007011021P4";1
"1224";"42007011023P7";1
"1225";"42007011026P6";1
"1226";"42007011031P0";3
"1227";"42007011032P6";1
"1228";"42008018001P0";17
"1229";"42008018006P1";13
"1230";"42008018009P0";28
"1231";"42008018010P9";16
"1232";"42008018013P8";6
"1233";"42008018014P4";3
"1234";"42008018015P0";2
"1235";"42008018034P5";2
"1236";"42009014001P6";3
"1237";"42009014004P5";3
"1238";"42009014007P4";1
"1239";"42009014008P0";6
"1240";"42009014009P7";1
"1241";"42009014010P5";4
"1242";"42010012001P0";9
"1243";"42010012004P0";1
"1244";"42010012007P9";2
"1245";"42014018001P6";5
"1246";"42014018003P9";12
"1247";"42014018004P5";2
"1248";"42014018170P2";5
"1249";"42015014006P4";5
"1250";"42015014008P7";1
"1251";"42015014010P1";5
"1252";"42019010011P7";1
"1253";"42019010013P0";1
"1254";"42019010014P6";1
"1255";"42020018004P1";2
"1256";"42020018005P8";4
"1257";"42021014002P5";1
"1258";"42024013001P8";8
"1259";"42037018001P9";1
"1260";"42037018002P5";1
"1261";"42039010002P8";1
"1262";"42041015001P2";7
"1263";"42041015003P5";10
"1264";"42041015006P4";1
"1265";"42042011001P9";5
"1266";"42042011002P5";4
"1267";"42044014001P1";1
"1268";"42046017001P4";3
"1269";"42046017007P2";3
"1270";"50001019002P4";6
"1271";"50001019012P0";1
"1272";"50001019014P2";1
"1273";"50001019016P5";4
"1274";"50001019022P5";2
"1275";"50001019029P0";3
"1276";"50001019030P8";6
"1277";"50001019031P4";20
"1278";"50001019033P7";1
"1279";"50002015001P4";1
"1280";"50002015006P6";3
"1281";"50002015101P9";2
"1282";"50008013002P9";3
"1283";"51001012005P6";7
"1284";"51001012007P9";21
"1285";"51001012010P0";2
"1286";"51001012012P2";1
"1287";"51001012018P0";7
"1288";"51001012019P7";7
"1289";"51001012022P8";1
"1290";"51001012024P0";1
"1291";"51001012029P2";1
"1292";"51001012030P0";11
"1293";"51001012035P2";1
"1294";"51001012038P1";1
"1295";"51001012170P7";1
"1296";"51002019003P0";1
"1297";"51002019005P2";9
"1298";"51002019006P9";3
"1299";"51005018006P8";4
"1300";"51005018009P7";6
"1301";"51005018010P5";5
"1302";"51005018171P9";1
"1303";"52001016003P6";1
"1304";"52001016005P9";3
"1305";"52001016009P4";3
"1306";"52001016014P8";7
"1307";"52001016018P3";4
"1308";"52001016019P0";17
"1309";"52001016022P0";4
"1310";"52001016029P5";20
"1311";"52001016031P0";14
"1312";"52001016032P6";1
"1313";"52001016033P2";1
"1314";"52001016034P9";3
"1315";"52001016044P4";1
"1316";"52001016048P0";36
"1317";"52001016056P2";2
"1318";"52001016061P6";5
"1319";"52001016062P2";34
"1320";"52001016067P4";2
"1321";"52001016069P7";2
"1322";"52001016072P8";11
"1323";"52005011001P9";6
"1324";"52010015003P1";1
"1325";"52010015004P8";1
"1326";"52010015102P0";1
"1327";"52010015104P2";2
"1328";"52012018001P1";1
"1329";"52012018005P7";4
"1330";"52012018008P6";1
"1331";"53001010005P5";18
"1332";"53001010007P8";24
"1333";"53001010015P0";3
"1334";"53001010031P6";7
"1335";"53001010036P8";3
"1336";"53001010038P0";13
"1337";"53001010045P7";9
"1338";"53001010047P0";3
"1339";"53001010049P2";3
"1340";"53001010051P7";2
"1341";"53001010052P3";11
"1342";"53001010067P0";1
"1343";"53001010080P7";5
"1344";"53001010081P3";9
"1345";"53001010082P0";1
"1346";"53001010083P6";10
"1347";"53001010085P9";8
"1348";"53001010086P5";2
"1349";"53001010088P8";11
"1350";"53001010094P8";1
"1351";"53001010096P0";10
"1352";"53001010097P7";13
"1353";"53001010099P0";1
"1354";"53001010100P8";34
"1355";"53003012005P4";20
"1356";"53003012009P0";10
