"";"CD_PROGRAMA_IES";"SPPAP"
"245";"25001019090P0";2
"246";"25002015002P0";4
"247";"25002015005P9";11
"248";"25003011001P0";2
"249";"25003011002P6";6
"250";"25003011003P2";3
"251";"25003011005P5";3
"252";"25003011009P0";3
"253";"25003011010P9";1
"254";"25003011013P8";1
"255";"25003011017P3";3
"256";"25003011018P0";2
"257";"25003011020P4";23
"258";"25003011021P0";1
"259";"25003011022P7";13
"260";"25003011024P0";1
"261";"25003011028P5";2
"262";"25003011031P6";10
"263";"25003011033P9";1
"264";"25003011036P8";1
"265";"25004018006P8";1
"266";"25004018009P7";1
"267";"25004018013P4";3
"268";"25019015001P0";2
"269";"25020013001P4";8
"270";"25020013003P7";17
"271";"25020013004P3";2
"272";"25020013005P0";16
"273";"25020013006P6";2
"274";"26001012002P6";2
"275";"26001012003P2";21
"276";"26001012012P1";2
"277";"26001012020P4";1
"278";"26001012022P7";11
"279";"26001012023P3";12
"280";"26001012026P2";1
"281";"26001012028P5";10
"282";"26001012030P0";7
"283";"26001012033P9";1
"284";"26001012036P8";26
"285";"26001012170P6";1
"286";"26006014001P1";3
"287";"26006014002P8";1
"288";"27001016008P7";6
"289";"27001016009P3";64
"290";"27001016010P1";18
"291";"27001016014P7";15
"292";"27001016015P3";3
"293";"27001016016P0";12
"294";"27001016017P6";3
"295";"27001016018P2";3
"296";"27001016019P9";47
"297";"27001016025P9";1
"298";"27001016027P1";1
"299";"27001016028P8";14
"300";"27001016030P2";1
"301";"27001016031P9";11
"302";"27001016042P0";2
"303";"27001016045P0";16
"304";"27001016047P2";3
"305";"27001016049P5";6
"306";"27001016171P5";6
"307";"27001016172P1";1
"308";"27002012001P9";17
"309";"27002012002P5";25
"310";"27002012004P8";32
"311";"28001010002P5";6
"312";"28001010004P8";13
"313";"28001010005P4";4
"314";"28001010011P4";5
"315";"28001010012P0";1
"316";"28001010021P0";10
"317";"28001010025P5";5
"318";"28001010036P7";10
"319";"28001010038P0";1
"320";"28001010039P6";3
"321";"28001010045P6";9
"322";"28001010047P9";2
"323";"28001010053P9";20
"324";"28001010057P4";11
"325";"28001010059P7";15
"326";"28001010062P8";23
"327";"28001010064P0";6
"328";"28001010067P0";4
"329";"28001010071P7";11
"330";"28001010073P0";9
"331";"28001010075P2";1
"332";"28001010076P9";1
"333";"28001010080P6";43
"334";"28001010084P1";8
"335";"28001010085P8";2
"336";"28001010087P0";2
"337";"28001010089P3";7
"338";"28001010095P3";3
"339";"28001010171P1";1
"340";"28002016002P8";6
"341";"28002016005P7";1
"342";"28002016006P3";25
"343";"28002016010P0";7
