"";"cod_programa";"IMI";"IPT"
"1";"10001018004P4";0,718566176470588;0,0444444444444444
"2";"10001018006P7";0,700641025641026;0,111111111111111
"3";"10001018009P6";0,476161986161986;0,0666666666666667
"4";"10001018017P9";0,569071087216249;0,177777777777778
"5";"12001015001P0";0,46386660724896;0,0196078431372549
"6";"12001015002P7";0,391729512317748;0,130952380952381
"7";"12001015003P3";0,481483512020793;0,0222222222222222
"8";"12001015012P2";0,429573804573805;0,282051282051282
"9";"12001015013P9";0,514402655686558;0,172839506172839
"10";"12001015016P8";0,518055555555556;0,395833333333333
"11";"12001015021P1";0,364324294532628;0,333333333333333
"12";"12001015033P0";0,581454248366013;0,166666666666667
"13";"12001015034P6";0,551733518762504;0,037037037037037
"14";"12001015038P1";0,501049007410731;0,087248322147651
"15";"12001015042P9";0,812457912457912;0,0185185185185185
"16";"12002011011P2";0,498243114909782;0,0256410256410256
"17";"12006017003P5";0,574696283427901;0,0256410256410256
"18";"12008010003P1";0,535185185185185;0,111111111111111
"19";"12008010008P3";0,576659886954005;0,0444444444444444
"20";"14001012004P5";0,673807586462385;0,0166666666666667
"21";"14001012005P1";0,588838838838839;0,222222222222222
"22";"15001016002P5";0,666632388050071;0,05
"23";"15001016004P8";0,493220899470899;0,5
"24";"15001016007P7";0,366849046015713;0,138888888888889
"25";"15001016009P0";0,359009265588213;0,121212121212121
"26";"15001016010P8";0,437366071428571;0,277777777777778
"27";"15001016018P9";0,404466230936819;0,0784313725490196
"28";"15001016028P4";0,460277078245828;0,0158730158730159
"29";"15001016031P5";0,489057239057239;0,0303030303030303
"30";"15001016032P1";0,462738665699392;0,140350877192982
"31";"15001016033P8";0,516362309465758;0,0317460317460317
"32";"15001016035P0";0,498127966676354;0,0138888888888889
"33";"15001016037P3";0,379108272219352;0,476190476190476
"34";"15001016039P6";0,44541847041847;0,0714285714285714
"35";"15001016040P4";0,470502424306772;0,0434782608695652
"36";"15001016041P0";0,577222222222222;0,0416666666666667
"37";"15001016044P0";0,490954681389464;0,130952380952381
"38";"15001016045P6";0,609297385620915;0,0476190476190476
"39";"15001016047P9";0,476911976911977;0,05
"40";"15001016049P1";0,538897377132671;0,176470588235294
"41";"15001016050P0";0,488121693121693;0,0555555555555556
"42";"15001016051P6";0,446454248366013;0,1875
"43";"15001016055P1";0,611566057399391;0,037037037037037
"44";"15001016059P7";0,657455300127714;0,0444444444444444
"45";"15001016060P5";0,560707344207227;0,037037037037037
"46";"15001016063P4";0,547843570065792;0,0256410256410256
"47";"15001016068P6";0,533616944778015;0,148148148148148
"48";"15001016071P7";0,486933337262795;0,0454545454545454
"49";"15001016073P0";0,720055039559684;0,0238095238095238
"50";"15001016075P2";0,510041418276712;0,0980392156862745
"51";"15001016076P9";0,590540239487608;0,238095238095238
"52";"15001016077P5";0,523842592592593;0,0833333333333333
"53";"15001016078P1";0,553709071390231;0,0579710144927536
"54";"15001016079P8";0,685768921095008;0,0277777777777778
"55";"15001016080P6";0,596560846560847;0,0333333333333333
"56";"15001016084P1";0,514814814814815;0,0416666666666667
"57";"15001016085P8";0,682575757575758;0,0333333333333333
"58";"15001016086P4";0,535216308745721;0,0588235294117647
"59";"15002012007P3";0,589445739445739;0,0303030303030303
"60";"15002012008P0";0,541692720859387;0,0555555555555556
"61";"15004015004P7";0,775287274453941;0,037037037037037
"62";"15004015005P3";0,613521646646647;0,0277777777777778
"63";"15006018002P7";0,533535816035816;0,05
"64";"15006018003P3";0,519075104373847;0,0185185185185185
"65";"15006018006P2";0,697829549980088;0,111111111111111
"66";"15006018007P9";0,61031746031746;0,0238095238095238
"67";"15010015001P4";0,522866996551207;0,0555555555555556
"68";"15010015002P0";0,565248594269062;0,0350877192982456
