"";"CS_STATUS_JURIDICO";"m_IMI";"m_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"ESTADUAL";0,477912898966676;0,103016331337195;0,0106329655231364;0,0128398559091456;0,103116271864029;0,113313087986982;21,5763734536111;109,99526630014;"0.0732825476968398"
"2";"FEDERAL";0,480322075693216;0,116604618347569;0,0111758448003814;0,0152716168376442;0,105715868252507;0,123578383375266;22,0093711287232;105,980693669362;"-0.00315558367677363"
"3";"MUNICIPAL";0,545370405891501;0,117924627115804;0,0222426874839894;0,011442485840748;0,149139825278124;0,106969555672387;27,3465196620505;90,7101072003745;"0.777653385052747"
"4";"PARTICULAR";0,543393843538338;0,146424732653934;0,0102797433477926;0,0223185044991696;0,101389069173124;0,149393790028802;18,6584869112473;102,027702097216;"0.169599512042538"
