"";"CD_PROGRAMA_IES";"QPPr"
"245";"31004016015P4";1
"246";"31004016031P0";4
"247";"31004016048P0";2
"248";"31004016064P5";2
"249";"31004016156P7";1
"250";"31005012009P0";1
"251";"31005012010P9";1
"252";"31005012012P1";3
"253";"31005012013P8";1
"254";"31005012021P0";1
"255";"31005012027P9";6
"256";"31005012037P4";2
"257";"31005012039P7";2
"258";"31009018003P8";1
"259";"31010016001P0";12
"260";"31010016003P2";5
"261";"31010016004P9";36
"262";"31010016007P8";5
"263";"31010016012P1";1
"264";"31010016016P7";5
"265";"31010016022P7";1
"266";"31010016023P3";11
"267";"31010016027P9";1
"268";"31010016030P0";1
"269";"31010016031P6";1
"270";"31011012004P5";1
"271";"31011012011P1";1
"272";"31011012014P0";1
"273";"31013015002P5";5
"274";"31018017011P6";1
"275";"31021018001P8";5
"276";"31021018002P4";1
"277";"31021018008P2";1
"278";"31021018013P6";4
"279";"31021018017P1";2
"280";"31021018018P8";2
"281";"31021018019P4";13
"282";"31021018022P5";2
"283";"31022014003P7";7
"284";"31030017001P3";1
"285";"31030017004P2";8
"286";"31032010008P4";1
"287";"31033016001P2";1
"288";"31033016005P8";2
"289";"31033016010P1";2
"290";"31033016015P3";8
"291";"31035019003P8";3
"292";"31040012001P5";2
"293";"31040012002P1";1
"294";"31049010001P6";1
"295";"31050018002P3";2
"296";"31050018003P0";1
"297";"31056016001P5";1
"298";"31057012002P8";3
"299";"31063012001P8";1
"300";"31067018002P0";3
"301";"31069010001P6";6
"302";"31069010002P2";2
"303";"31075010001P2";3
"304";"31076017001P9";1
"305";"31088015001P3";2
"306";"31096018001P2";3
"307";"31099017001P1";2
"308";"31102000001P6";7
"309";"32001010005P2";9
"310";"32001010006P9";1
"311";"32001010007P5";1
"312";"32001010008P1";6
"313";"32001010010P6";15
"314";"32001010015P8";15
"315";"32001010016P4";3
"316";"32001010018P7";1
"317";"32001010019P3";1
"318";"32001010023P0";7
"319";"32001010025P3";3
"320";"32001010027P6";1
"321";"32001010028P2";1
"322";"32001010038P8";3
"323";"32001010041P9";1
"324";"32001010042P5";2
"325";"32001010045P4";2
"326";"32001010049P0";2
"327";"32001010055P0";4
"328";"32001010057P2";1
"329";"32001010061P0";2
"330";"32001010062P6";1
"331";"32001010065P5";1
"332";"32001010068P4";2
"333";"32001010074P4";1
"334";"32001010085P6";5
"335";"32001010086P2";3
"336";"32001010094P5";1
"337";"32001010096P8";1
"338";"32001010171P0";3
"339";"32002017001P3";2
"340";"32002017003P6";1
"341";"32002017004P2";2
"342";"32002017006P5";3
"343";"32002017012P5";1
"344";"32002017013P1";4
"345";"32002017014P8";2
"346";"32002017016P0";1
"347";"32002017022P0";3
"348";"32003013004P9";1
"349";"32003013007P8";1
"350";"32003013011P5";1
"351";"32004010001P0";1
"352";"32004010003P2";1
"353";"32004010006P1";1
"354";"32004010009P0";2
"355";"32004010016P7";3
"356";"32004010018P0";1
"357";"32004010020P4";1
"358";"32004010022P7";1
"359";"32004010024P0";1
"360";"32005016005P8";2
"361";"32005016008P7";1
"362";"32005016012P4";1
"363";"32005016014P7";1
"364";"32005016015P3";4
"365";"32005016018P2";2
"366";"32005016023P6";1
"367";"32005016031P9";1
"368";"32006012001P9";4
"369";"32006012003P1";2
"370";"32006012004P8";5
"371";"32006012005P4";2
"372";"32006012015P0";18
"373";"32006012016P6";2
"374";"32006012032P1";2
"375";"32006012033P8";1
"376";"32006012034P4";5
"377";"32007019005P0";2
"378";"32007019014P0";7
"379";"32007019016P2";1
"380";"32007019017P9";1
"381";"32007019020P0";1
"382";"32007019021P6";3
"383";"32007019023P9";1
"384";"32007019026P8";1
"385";"32007019051P2";1
"386";"32008015003P4";1
"387";"32008015004P0";2
"388";"32008015009P2";2
"389";"32008015012P3";1
"390";"32008015014P6";2
"391";"32010010009P7";1
"392";"32011016004P8";1
"393";"32012012009P6";1
"394";"32014015009P9";25
"395";"32018010008P8";3
"396";"32018010010P2";2
"397";"32018010011P9";1
"398";"32018010016P0";1
"399";"32020015005P0";1
"400";"32020015006P6";1
"401";"32025017002P2";1
"402";"32037015002P7";12
"403";"32037015003P3";19
"404";"32044011001P3";4
"405";"32048017001P9";8
"406";"32053010006P0";2
"407";"32073011003P5";3
"408";"32145012001P7";1
"409";"33001014004P9";2
"410";"33001014015P0";2
"411";"33001014016P7";1
"412";"33001014018P0";2
"413";"33001014020P4";4
"414";"33001014039P7";2
"415";"33001014040P5";2
"416";"33001014045P7";3
"417";"33002010024P6";2
"418";"33002010038P7";1
"419";"33002010045P3";2
"420";"33002010046P0";5
"421";"33002010050P7";11
"422";"33002010052P0";5
"423";"33002010061P9";1
"424";"33002010077P2";8
"425";"33002010079P5";3
"426";"33002010081P0";2
