"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QIP";"QPV";"DIPP";"DFPP";"QPP";"DFCP";"CC"
"202";"16003012156P8";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";4;11;0,363636363636364;1,56521739130435;2,17391304347826;0,797101449275362;0,580368906455863
"203";"16003012158P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";2;3;0,666666666666667;1,42307692307692;1,57692307692308;0,960164835164835;0,813415750915751
"204";"16003012159P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";3;11;0,272727272727273;3,29166666666667;3,25;1,05972222222222;0,666224747474747
"205";"16003012161P1";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";1;5;0,2;2,23529411764706;1,58823529411765;1,36764705882353;0,783823529411765
"206";"20001010003P6";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"6";4;47;0,0851063829787234;2,06666666666667;2,33333333333333;1,13777777777778;0,611442080378251
"207";"20001010004P2";"QUÍMICA";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"3";5;42;0,119047619047619;1,38095238095238;1,66666666666667;0,904761904761905;0,511904761904762
"208";"20001010005P9";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";4;18;0,222222222222222;5;6;0,833333333333333;0,527777777777778
"209";"20001010006P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";3;50;0,06;1,29411764705882;1,23529411764706;1,08823529411765;0,574117647058824
"210";"20001010008P8";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"3";3;19;0,157894736842105;1,90909090909091;3,09090909090909;0,723484848484849;0,440689792663477
"211";"20001010009P4";"MEDICINA I";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";2;65;0,0307692307692308;1,67857142857143;1,92857142857143;0,989583333333333;0,510176282051282
"212";"20001010010P2";NA;NA;NA;NA;NA;NA;3;7;0,428571428571429;NA;NA;NA;NA
"213";"20001010011P9";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";3;40;0,075;1,53333333333333;1,6;1,1;0,5875
"214";"20001010012P5";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";4;31;0,129032258064516;1;1,33333333333333;0,833333333333333;0,481182795698925
"215";"20001010013P1";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";4;86;0,0465116279069767;1;2,68181818181818;0,559145021645022;0,302828324775999
"216";"20001010014P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";4;258;0,0155038759689922;1,47560975609756;1,45121951219512;1,07380952380952;0,544656699889258
"217";"20001010015P4";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";4;53;0,0754716981132075;2,75;6,5;0,555194805194805;0,315333251654006
